Propeller,RPM at 17 N,Power at 17 N (W),Torque at 17 N (Nm),Efficiency at 17 N (N/W),RPM at 8 N,Power at 8 N (W),Torque at 8 N (Nm),Efficiency at 8 N (N/W)
74x75C,16215,445.73,0.2623,0.038212,11435,158.05,0.1316,0.053425
63x4,24755,449.02,0.1732,0.037894,17616,161.22,0.0872,0.052214
74x76C,16189,449.8,0.2651,0.037861,11414,159.75,0.133,0.052852
6x42E-3,22018,451.61,0.1959,0.037647,15591,160.83,0.0983,0.052368
74x77C,16171,453.41,0.2675,0.037552,11401,160.7,0.1342,0.052529
8x9,15187,459.04,0.2884,0.037105,10687,162.49,0.1446,0.05197
6x3,30631,464.33,0.1448,0.036644,22013,167.35,0.0727,0.050199
6x41SF,25166,467.69,0.1773,0.036374,17812,162.74,0.0871,0.051692
65x50,24360,468.92,0.1837,0.036297,17240,167.33,0.0925,0.050281
6x45E,22244,471.85,0.2025,0.03607,15750,166.87,0.1008,0.050447
6x4,27193,475.37,0.1669,0.035785,19348,170.17,0.0839,0.04944
6x2,34425,476.57,0.1322,0.035717,25057,171.96,0.0654,0.048858
6x4E,27361,479.32,0.1672,0.035502,19474,170.47,0.0834,0.049365
7x7,19318,480.61,0.2373,0.035433,13615,170.41,0.1192,0.049457
7x7E,18001,484.1,0.2567,0.035117,12679,170.26,0.1281,0.049529
57x3,32276,487.75,0.1443,0.03488,23193,175.23,0.0722,0.047974
65x55,24207,488.93,0.1928,0.0348,17102,173.22,0.0968,0.048535
7x6F,21885,492.09,0.2148,0.034568,15471,173.9,0.107,0.048447
8x10,14787,503.45,0.3248,0.033843,10401,177.71,0.1624,0.047553
55x25,34672,506.62,0.1395,0.033581,25020,181.67,0.0693,0.046241
65x60,24146,513.18,0.2027,0.033149,17045,181.2,0.1015,0.046377
6x3F,29663,513.6,0.1653,0.033132,21151,181.55,0.0819,0.046307
55x2,37180,514.82,0.1322,0.033043,27022,183.93,0.065,0.045675
6x5,26418,516.39,0.1865,0.032955,18690,182.86,0.0934,0.046014
7x8,19287,538.42,0.2662,0.031626,13580,189.67,0.1329,0.044444
65x65,24081,542.08,0.215,0.031374,16987,190.52,0.1072,0.044094
6x55E,26282,547.24,0.1988,0.031095,18582,192.3,0.0988,0.04377
5x4E-3,26400,552.89,0.1999,0.030779,18681,195.34,0.0996,0.043079
5x3,37984,563.76,0.1418,0.030156,27269,199.17,0.0697,0.042206
55x45E,31479,568.89,0.1724,0.029909,22337,199.96,0.0853,0.04206
65x70,24039,577.21,0.2294,0.029458,16946,202.54,0.114,0.041495
5x3E,39893,580.54,0.139,0.029293,28664,201.05,0.067,0.041813
55x47E,31342,581.97,0.1772,0.029235,22219,203.83,0.0876,0.041254
51x50E-3,26946,584.93,0.2072,0.02907,19040,205.73,0.1033,0.040844
7x9,19264,600.55,0.2974,0.028354,13558,210.36,0.1479,0.040084
5x41SF,35465,608.46,0.1637,0.027958,25112,209.49,0.0797,0.040117
51x45E,29414,614.92,0.1997,0.02767,20775,215.36,0.0989,0.039053
65x75,24008,616.64,0.2453,0.02757,16919,215.54,0.1215,0.039003
5x43E,31108,623.57,0.1914,0.027271,22024,218.52,0.0947,0.038446
5x45E,31175,631.55,0.1934,0.02693,22070,221.43,0.0957,0.03795
51x50E,32116,644.29,0.1916,0.026394,22708,225.69,0.0948,0.037262
46x3,43451,644.73,0.1417,0.026394,31221,218.07,0.0667,0.03854
525x475E,33323,650.9,0.1865,0.026136,23508,225.82,0.0917,0.037249
7x10,19292,662.02,0.3274,0.025724,13579,231.01,0.1623,0.036501
475x4,39667,670.41,0.1614,0.025378,28189,229.27,0.0777,0.03666
525x55E,33527,715.14,0.2037,0.023793,23671,246.22,0.0992,0.034158
47x42E,40501,727.51,0.1714,0.023383,28596,248.24,0.0829,0.033869
5x5E,37460,734.37,0.1871,0.023171,26481,247.81,0.0894,0.033934
7x11E,18164,756.86,0.3977,0.022491,12779,263.69,0.1965,0.031955
475x45E,40796,764.43,0.1789,0.022249,28789,259.81,0.0861,0.032351
55x65E,30192,765.56,0.2422,0.022218,21268,264.51,0.1188,0.031798
55x70,30754,778.27,0.2417,0.02186,21674,267.25,0.1178,0.031472
475x475E,41030,811.42,0.1889,0.020953,28995,268.33,0.0883,0.031306
525x625E,33147,813.21,0.2342,0.020913,23356,279.97,0.1144,0.030041
475x55E,40891,916.06,0.2139,0.018564,28841,300.89,0.0996,0.02793
525x8E,31622,976.39,0.2948,0.017426,22263,335.09,0.1436,0.025098
5x75E,34587,1009.97,0.2788,0.016845,24352,344.11,0.1349,0.024439
7x15E,18259,1047.45,0.5473,0.01626,12844,362.57,0.269,0.023224
5x11E,34984,1635.37,0.4464,0.010396,24610,552.97,0.2145,0.01521
4x4E-3,41000,0,0,,41000,0,0,
52x60E,33000,0,0,,33000,0,0,
5x37E-3,40000,0,0,,40000,0,0,
5x4E-4,37000,0,0,,37000,0,0,
6x6E,32000,0,0,,32000,0,0,
8x8E,24000,0,0,,24000,0,0,
9x9E,22000,0,0,,22000,0,0,
